# bin/check-action-async.sh baseline — register_action() call sites that
# set repeatable=true but don't declare async explicitly. Each non-comment
# line is '<file>:<line> <action_id>'. New entries fail the gate; legitimate
# fixes (explicit 'async' => true|false added) should DELETE the line in the
# same commit.
# Generated: 2026-06-05T12:46:51Z

integrations/bbpress.php:171 jetonomy_pro_reaction_added
integrations/bbpress.php:32 bbp_new_topic
integrations/bbpress.php:47 bbp_new_reply
integrations/bbpress.php:62 bbp_topic_closed
integrations/buddypress.php:102 bp_groups_create
integrations/buddypress.php:131 bp_reactions_received
integrations/buddypress.php:160 bp_polls_created
integrations/buddypress.php:173 bp_publish_post
integrations/buddypress.php:197 bp_media_upload
integrations/buddypress.php:245 bp_group_cover_upload
integrations/buddypress.php:267 bp_message_sent
integrations/buddypress.php:72 bp_friends_accepted
integrations/buddypress.php:89 bp_groups_join
integrations/contrib/givewp.php:33 give_donation_completed
integrations/contrib/givewp.php:75 give_recurring_donation
integrations/contrib/givewp.php:90 give_campaign_goal_reached
integrations/contrib/lifterlms.php:31 llms_course_completed
integrations/contrib/lifterlms.php:44 llms_lesson_completed
integrations/contrib/lifterlms.php:57 llms_quiz_passed
integrations/contrib/lifterlms.php:72 llms_achievement_earned
integrations/contrib/lifterlms.php:85 llms_certificate_earned
integrations/contrib/memberpress.php:30 mp_membership_activated
integrations/contrib/memberpress.php:45 mp_membership_renewed
integrations/contrib/the-events-calendar.php:29 tec_rsvp_registered
integrations/contrib/the-events-calendar.php:49 tec_ticket_purchased
integrations/contrib/the-events-calendar.php:64 tec_event_checked_in
integrations/jetonomy-pro.php:100 jetonomy_membership_activated
integrations/jetonomy-pro.php:119 jetonomy_pro_badge_earned
integrations/jetonomy-pro.php:146 jetonomy_pro_dm_received
integrations/jetonomy-pro.php:30 jetonomy_pro_poll_created
integrations/jetonomy-pro.php:52 jetonomy_pro_poll_voted
integrations/jetonomy-pro.php:74 jetonomy_pro_message_sent
integrations/jetonomy-pro.php:97 jetonomy_pro_conversation_created
integrations/jetonomy.php:31 jetonomy_space_joined
integrations/jetonomy.php:54 jetonomy_join_request_approved
integrations/jetonomy.php:76 jetonomy_trust_level_up
integrations/learndash.php:109 ld_assignment_approved
integrations/learndash.php:32 ld_course_completed
integrations/learndash.php:419 mvs_streak_milestone
integrations/learndash.php:47 ld_lesson_completed
integrations/learndash.php:62 ld_topic_completed
integrations/learndash.php:77 ld_quiz_passed
integrations/woocommerce.php:161 wc_wishlist_add
integrations/woocommerce.php:176 wc_add_to_cart
integrations/wordpress.php:124 wp_publish_post
integrations/wordpress.php:186 wp_leave_comment
integrations/wordpress.php:214 wp_comment_approved
integrations/wordpress.php:81 wp_post_receives_comment
integrations/wpmediaverse.php:112 mvs_create_album
integrations/wpmediaverse.php:182 mvs_receive_follow
integrations/wpmediaverse.php:226 mvs_give_comment
integrations/wpmediaverse.php:243 mvs_give_follow
integrations/wpmediaverse.php:258 mvs_bookmark_photo
integrations/wpmediaverse.php:295 mvs_battle_win
integrations/wpmediaverse.php:315 mvs_challenge_participate
integrations/wpmediaverse.php:88 mvs_upload_photo
